branchName, type_Run2, type_Run3
LowPtElectron_convVeto, ROOT::VecOps::RVec<Bool_t>, ROOT::VecOps::RVec<Bool_t>
LowPtElectron_convVtxRadius, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
LowPtElectron_convWP, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<UChar_t>
LowPtElectron_deltaEtaSC, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
LowPtElectron_dxy, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
LowPtElectron_dxyErr, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
LowPtElectron_dz, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
LowPtElectron_dzErr, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
LowPtElectron_eInvMinusPInv, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
LowPtElectron_embeddedID, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
LowPtElectron_energyErr, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
LowPtElectron_eta, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
LowPtElectron_genPartFlav, ROOT::VecOps::RVec<UChar_t>, ROOT::VecOps::RVec<UChar_t>
LowPtElectron_genPartIdx, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<Short_t>
LowPtElectron_hoe, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
LowPtElectron_lostHits, ROOT::VecOps::RVec<UChar_t>, ROOT::VecOps::RVec<UChar_t>
LowPtElectron_mass, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
LowPtElectron_miniPFRelIso_all, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
LowPtElectron_miniPFRelIso_chg, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
LowPtElectron_pdgId, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<Int_t>
LowPtElectron_phi, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
LowPtElectron_pt, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
LowPtElectron_ptbiased, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
LowPtElectron_r9, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
LowPtElectron_scEtOverPt, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
LowPtElectron_sieie, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
LowPtElectron_unbiased, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
MET_MetUnclustEnUpDeltaX, Float_t, Float_t
MET_MetUnclustEnUpDeltaY, Float_t, Float_t
MET_covXX, Float_t, Float_t
MET_covXY, Float_t, Float_t
MET_covYY, Float_t, Float_t
MET_fiducialGenPhi, Float_t, Float_t
MET_fiducialGenPt, Float_t, Float_t
MET_phi, Float_t, Float_t
MET_pt, Float_t, Float_t
MET_significance, Float_t, Float_t
MET_sumEt, Float_t, Float_t
MET_sumPtUnclustered, Float_t, Float_t
Muon_charge, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<Int_t>
Muon_cleanmask, ROOT::VecOps::RVec<UChar_t>, NOT AVAILABLE
Muon_dxy, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Muon_dxyErr, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Muon_dxybs, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Muon_dz, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Muon_dzErr, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Muon_eta, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Muon_fsrPhotonIdx, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<Short_t>
Muon_genPartFlav, ROOT::VecOps::RVec<UChar_t>, ROOT::VecOps::RVec<UChar_t>
Muon_genPartIdx, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<Short_t>
Muon_highPtId, ROOT::VecOps::RVec<UChar_t>, ROOT::VecOps::RVec<UChar_t>
Muon_highPurity, ROOT::VecOps::RVec<Bool_t>, ROOT::VecOps::RVec<Bool_t>
Muon_inTimeMuon, ROOT::VecOps::RVec<Bool_t>, ROOT::VecOps::RVec<Bool_t>
Muon_ip3d, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Muon_isGlobal, ROOT::VecOps::RVec<Bool_t>, ROOT::VecOps::RVec<Bool_t>
Muon_isPFcand, ROOT::VecOps::RVec<Bool_t>, ROOT::VecOps::RVec<Bool_t>
Muon_isStandalone, ROOT::VecOps::RVec<Bool_t>, ROOT::VecOps::RVec<Bool_t>
Muon_isTracker, ROOT::VecOps::RVec<Bool_t>, ROOT::VecOps::RVec<Bool_t>
Muon_jetIdx, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<Short_t>
Muon_jetNDauCharged, ROOT::VecOps::RVec<UChar_t>, ROOT::VecOps::RVec<UChar_t>
Muon_jetPtRelv2, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Muon_jetRelIso, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Muon_looseId, ROOT::VecOps::RVec<Bool_t>, ROOT::VecOps::RVec<Bool_t>
Muon_mass, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Muon_mediumId, ROOT::VecOps::RVec<Bool_t>, ROOT::VecOps::RVec<Bool_t>
Muon_mediumPromptId, ROOT::VecOps::RVec<Bool_t>, ROOT::VecOps::RVec<Bool_t>
Muon_miniIsoId, ROOT::VecOps::RVec<UChar_t>, ROOT::VecOps::RVec<UChar_t>
Muon_miniPFRelIso_all, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Muon_miniPFRelIso_chg, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Muon_multiIsoId, ROOT::VecOps::RVec<UChar_t>, ROOT::VecOps::RVec<UChar_t>
Muon_mvaId, ROOT::VecOps::RVec<UChar_t>, NOT AVAILABLE
Muon_mvaLowPt, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Muon_mvaLowPtId, ROOT::VecOps::RVec<UChar_t>, NOT AVAILABLE
Muon_mvaTTH, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Muon_nStations, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<UChar_t>
Muon_nTrackerLayers, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<UChar_t>
Muon_pdgId, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<Int_t>
Muon_pfIsoId, ROOT::VecOps::RVec<UChar_t>, ROOT::VecOps::RVec<UChar_t>
Muon_pfRelIso03_all, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Muon_pfRelIso03_chg, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Muon_pfRelIso04_all, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Muon_phi, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Muon_pt, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Muon_ptErr, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Muon_puppiIsoId, ROOT::VecOps::RVec<UChar_t>, ROOT::VecOps::RVec<UChar_t>
Muon_segmentComp, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Muon_sip3d, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Muon_softId, ROOT::VecOps::RVec<Bool_t>, ROOT::VecOps::RVec<Bool_t>
Muon_softMva, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Muon_softMvaId, ROOT::VecOps::RVec<Bool_t>, ROOT::VecOps::RVec<Bool_t>
Muon_tightCharge, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<UChar_t>
Muon_tightId, ROOT::VecOps::RVec<Bool_t>, ROOT::VecOps::RVec<Bool_t>
Muon_tkIsoId, ROOT::VecOps::RVec<UChar_t>, ROOT::VecOps::RVec<UChar_t>
Muon_tkRelIso, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Muon_triggerIdLoose, ROOT::VecOps::RVec<Bool_t>, ROOT::VecOps::RVec<Bool_t>
Muon_tunepRelPt, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
OtherPV_z, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
PSWeight, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
PV_chi2, Float_t, Float_t
PV_ndof, Float_t, Float_t
PV_npvs, Int_t, UChar_t
PV_npvsGood, Int_t, UChar_t
PV_score, Float_t, Float_t
PV_x, Float_t, Float_t
PV_y, Float_t, Float_t
PV_z, Float_t, Float_t
Photon_charge, ROOT::VecOps::RVec<Int_t>, NOT AVAILABLE
Photon_cleanmask, ROOT::VecOps::RVec<UChar_t>, NOT AVAILABLE
Photon_cutBased, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<UChar_t>
Photon_cutBased_Fall17V1Bitmap, ROOT::VecOps::RVec<Int_t>, NOT AVAILABLE
Photon_dEscaleDown, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
Photon_dEscaleUp, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
Photon_dEsigmaDown, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
Photon_dEsigmaUp, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
Photon_eCorr, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
Photon_electronIdx, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<Short_t>
Photon_electronVeto, ROOT::VecOps::RVec<Bool_t>, ROOT::VecOps::RVec<Bool_t>
Photon_energyErr, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Photon_eta, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Photon_genPartFlav, ROOT::VecOps::RVec<UChar_t>, ROOT::VecOps::RVec<UChar_t>
Photon_genPartIdx, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<Short_t>
Photon_hoe, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Photon_isScEtaEB, ROOT::VecOps::RVec<Bool_t>, ROOT::VecOps::RVec<Bool_t>
Photon_isScEtaEE, ROOT::VecOps::RVec<Bool_t>, ROOT::VecOps::RVec<Bool_t>
Photon_jetIdx, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<Short_t>
Photon_mass, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
Photon_mvaID, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Photon_mvaID_Fall17V1p1, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
Photon_mvaID_WP80, ROOT::VecOps::RVec<Bool_t>, ROOT::VecOps::RVec<Bool_t>
Photon_mvaID_WP90, ROOT::VecOps::RVec<Bool_t>, ROOT::VecOps::RVec<Bool_t>
Photon_pdgId, ROOT::VecOps::RVec<Int_t>, NOT AVAILABLE
Photon_pfRelIso03_all, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
Photon_pfRelIso03_chg, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
Photon_phi, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Photon_pixelSeed, ROOT::VecOps::RVec<Bool_t>, ROOT::VecOps::RVec<Bool_t>
Photon_pt, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Photon_r9, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Photon_seedGain, ROOT::VecOps::RVec<UChar_t>, ROOT::VecOps::RVec<UChar_t>
Photon_sieie, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Photon_vidNestedWPBitmap, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<Int_t>
Pileup_gpudensity, Float_t, Float_t
Pileup_nPU, Int_t, Int_t
Pileup_nTrueInt, Float_t, Float_t
Pileup_pudensity, Float_t, Float_t
Pileup_sumEOOT, Int_t, Int_t
Pileup_sumLOOT, Int_t, Int_t
PuppiMET_phi, Float_t, Float_t
PuppiMET_phiJERDown, Float_t, Float_t
PuppiMET_phiJERUp, Float_t, Float_t
PuppiMET_phiJESDown, Float_t, Float_t
PuppiMET_phiJESUp, Float_t, Float_t
PuppiMET_phiUnclusteredDown, Float_t, Float_t
PuppiMET_phiUnclusteredUp, Float_t, Float_t
PuppiMET_pt, Float_t, Float_t
PuppiMET_ptJERDown, Float_t, Float_t
PuppiMET_ptJERUp, Float_t, Float_t
PuppiMET_ptJESDown, Float_t, Float_t
PuppiMET_ptJESUp, Float_t, Float_t
PuppiMET_ptUnclusteredDown, Float_t, Float_t
PuppiMET_ptUnclusteredUp, Float_t, Float_t
PuppiMET_sumEt, Float_t, Float_t
RawMET_phi, Float_t, Float_t
RawMET_pt, Float_t, Float_t
RawMET_sumEt, Float_t, Float_t
RawPuppiMET_phi, Float_t, Float_t
RawPuppiMET_pt, Float_t, Float_t
RawPuppiMET_sumEt, Float_t, Float_t
SV_charge, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<Short_t>
SV_chi2, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
SV_dlen, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
SV_dlenSig, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
SV_dxy, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
SV_dxySig, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
SV_eta, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
SV_mass, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
SV_ndof, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
SV_ntracks, ROOT::VecOps::RVec<UChar_t>, ROOT::VecOps::RVec<UChar_t>
SV_pAngle, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
SV_phi, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
SV_pt, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
SV_x, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
SV_y, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
SV_z, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
SoftActivityJetHT, Float_t, Float_t
SoftActivityJetHT10, Float_t, Float_t
SoftActivityJetHT2, Float_t, Float_t
SoftActivityJetHT5, Float_t, Float_t
SoftActivityJetNjets10, Int_t, Int_t
SoftActivityJetNjets2, Int_t, Int_t
SoftActivityJetNjets5, Int_t, Int_t
SoftActivityJet_eta, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
SoftActivityJet_phi, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
SoftActivityJet_pt, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
SubGenJetAK8_eta, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
SubGenJetAK8_mass, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
SubGenJetAK8_phi, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
SubGenJetAK8_pt, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
SubJet_btagCSVV2, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
SubJet_btagDeepB, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
SubJet_eta, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
SubJet_hadronFlavour, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<UChar_t>
SubJet_mass, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
SubJet_n2b1, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
SubJet_n3b1, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
SubJet_nBHadrons, ROOT::VecOps::RVec<UChar_t>, ROOT::VecOps::RVec<UChar_t>
SubJet_nCHadrons, ROOT::VecOps::RVec<UChar_t>, ROOT::VecOps::RVec<UChar_t>
SubJet_phi, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
SubJet_pt, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
SubJet_rawFactor, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
SubJet_tau1, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
SubJet_tau2, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
SubJet_tau3, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
SubJet_tau4, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Tau_charge, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<Short_t>
Tau_chargedIso, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Tau_cleanmask, ROOT::VecOps::RVec<UChar_t>, NOT AVAILABLE
Tau_decayMode, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<UChar_t>
Tau_dxy, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Tau_dz, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Tau_eta, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Tau_genPartFlav, ROOT::VecOps::RVec<UChar_t>, ROOT::VecOps::RVec<UChar_t>
Tau_genPartIdx, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<Short_t>
Tau_idAntiEleDeadECal, ROOT::VecOps::RVec<Bool_t>, ROOT::VecOps::RVec<Bool_t>
Tau_idAntiMu, ROOT::VecOps::RVec<UChar_t>, ROOT::VecOps::RVec<UChar_t>
Tau_idDecayModeOldDMs, ROOT::VecOps::RVec<Bool_t>, ROOT::VecOps::RVec<Bool_t>
Tau_idDeepTau2017v2p1VSe, ROOT::VecOps::RVec<UChar_t>, ROOT::VecOps::RVec<UChar_t>
Tau_idDeepTau2017v2p1VSjet, ROOT::VecOps::RVec<UChar_t>, ROOT::VecOps::RVec<UChar_t>
Tau_idDeepTau2017v2p1VSmu, ROOT::VecOps::RVec<UChar_t>, ROOT::VecOps::RVec<UChar_t>
Tau_jetIdx, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<Short_t>
Tau_leadTkDeltaEta, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Tau_leadTkDeltaPhi, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Tau_leadTkPtOverTauPt, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Tau_mass, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Tau_neutralIso, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Tau_phi, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Tau_photonsOutsideSignalCone, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Tau_pt, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Tau_puCorr, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Tau_rawDeepTau2017v2p1VSe, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Tau_rawDeepTau2017v2p1VSjet, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Tau_rawDeepTau2017v2p1VSmu, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Tau_rawIso, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Tau_rawIsodR03, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
TkMET_phi, Float_t, Float_t
TkMET_pt, Float_t, Float_t
TkMET_sumEt, Float_t, Float_t
TrigObj_eta, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
